County Name,Unemployment Rate,Pop. Below Poverty Line,Ratio of Income 80th vs 20th Percentile:,Banking Institutions Per 10000 Pop.,Household Spending <30% of income on housing,High-Speed Internet,Preschool Enrollment,On-time HS Graduation,Associate Degree or Higher,Violent Crime per 100000 Pop.,Youth Not In School Or Working,Primary Care Providers Per 100000 Pop.,Grocery Stores and Supermarkets per 10000 Pop.
"Autauga, Alabama",4.5,12.1,4.2,4.2,70.4,4,38.9,81,28.2,253.6,13.3,65.3,0.9
"Baldwin, Alabama",4.7,13.9,4.4,5.5,68.3,4,39.8,74,36.3,220.7,16.3,193.9,1.8
"Barbour, Alabama",3.9,26.7,5.5,12.3,73.4,5,None,None,46.2,39.3,30.8,369.5,24.6
"Bibb, Alabama",6.1,18.1,4.5,6.6,60.1,4,None,None,54,56.6,None,371.3,6.6
"Blount, Alabama",4.8,15.8,4,2.6,73.9,3,26.5,85,20.8,219,14.4,39.8,1.2
"Bullock, Alabama",3,21.6,None,9.6,82.3,4,None,None,21.2,184.5,None,0,4.8
"Butler, Alabama",3.2,28.4,5.1,27.3,78.8,4,None,None,31.3,None,23.8,273.2,13.7
"Calhoun, Alabama",6.1,21.9,5.2,4.4,69.4,3,43.2,82,23,504.5,19.8,165.6,2.2
"Chambers, Alabama",5.2,24.1,5.3,2.9,63.8,3,50,76,17.9,553.5,29.4,81.9,2
"Cherokee, Alabama",4.7,21.2,5.1,5.3,79,3,None,None,23.7,462,None,52.9,5.3
"Chilton, Alabama",4.9,19.5,4.5,3,72.9,3,36.8,76,19.7,407.4,19.1,29.7,2.3
"Choctaw, Alabama",8.6,21.5,5.7,4.5,77,3,56.5,78,19.8,110.9,30.3,37.3,3
"Clarke, Alabama",10.8,29.3,7.2,7.9,67.4,3,46.5,73,19.5,464.1,25.6,59.6,2.4
"Clay, Alabama",4.4,19,5.1,2.2,73.1,3,None,93,32.4,73.7,29.8,89.7,2.2
"Cleburne, Alabama",2.2,18.4,5.2,10.3,76.8,2,None,None,36.1,None,19.9,205.5,10.3
"Coffee, Alabama",5.3,18.6,5.3,4.1,70.6,4,25.8,85,31.5,363.9,18.4,90.4,1.2
"Colbert, Alabama",7.1,17.9,4.8,6.4,70.6,3,33.4,78,25.2,372.9,17.8,141.3,1.5
"Conecuh, Alabama",12.3,32.7,5.7,10.5,84.5,4,None,None,23.9,131,None,104.7,20.9
"Coosa, Alabama",6,20.9,5,6.6,75.7,3,None,None,24.3,None,None,0,13.1
"Covington, Alabama",6.3,20,4.6,4.8,71.1,4,42.9,81,22.6,242.2,21.9,92.5,2.4
"Crenshaw, Alabama",12.7,19.1,5.7,2.6,70.9,2,None,73,25.5,366,None,52.4,1.3
"Cullman, Alabama",4.7,18.8,4.8,4.3,70,3,31.7,83,24.8,201.2,16.9,122.6,2.2
"Dale, Alabama",5.8,17.4,5.1,4,72.7,3,33.6,77,27.6,395.8,15.8,58.2,1.8
"Dallas, Alabama",8.1,35.5,6.5,3.6,58.6,3,31.1,72,21.4,781.8,31.7,178.1,1.9
"DeKalb, Alabama",2.1,19.9,4.4,10.1,83.6,4,None,None,29.4,49.4,21.4,50.7,5.1
"Elmore, Alabama",4.5,13.4,4,3.5,73.2,4,51.9,74,28.8,178.7,23.3,42.1,1.2
"Escambia, Alabama",3.2,25.4,5.5,7.2,85.3,5,None,44,29.7,None,30.2,0,7.2
"Etowah, Alabama",5.4,19,4.7,3.3,69.4,3,42.6,77,22.9,497.9,20.4,197.2,1.4
"Fayette, Alabama",8.5,19.9,5.2,3.3,64.1,4,None,None,28.4,424.4,None,65.8,0
"Franklin, Alabama",7.7,21.9,4.7,4.2,66.7,2,None,None,None,699.6,21.3,0,4.2
"Geneva, Alabama",4.3,21.2,4.8,9.3,71.4,3,None,None,20.8,161.1,20,0,4.7
"Greene, Alabama",7.9,32.9,4.7,3.5,64.6,2,None,58,16.7,350.1,None,14,0
"Hale, Alabama",6.7,26.6,5.4,2,67.1,2,77.8,71,18.7,169.6,26.7,32.7,2.6
"Henry, Alabama",4.2,14.4,5.5,7.9,72.7,4,None,None,24.2,73.9,14.9,0,0
"Houston, Alabama",5.3,18,5,5.1,70.3,3,39.6,87,28.2,442.2,17.9,328.1,1.6
