County Name,Unemployment Rate,Median Household Income,Pop. Below Poverty Line,Ratio of Income 80th vs 20th Percentile:,Banking Institutions Per 10000 Pop.,Household Spending <30% of income on housing,High-Speed Internet,Preschool Enrollment,On-time HS Graduation,Associate Degree or Higher,Violent Crime per 100000 Pop.,Youth Not In School Or Working,Primary Care Providers Per 100000 Pop.,Grocery Stores and Supermarkets per 10000 Pop.
"Autauga, Alabama",4.5,50246,12.1,4.2,4.2,70.4,4,38.9,81,28.2,253.6,13.3,65.3,0.9
"Baldwin, Alabama",4.7,47007,13.9,4.4,5.5,68.3,4,39.8,74,36.3,220.7,16.3,193.9,1.8
"Barbour, Alabama",3.9,30805,26.7,5.5,12.3,73.4,5,None,None,46.2,39.3,30.8,369.5,24.6
"Bibb, Alabama",6.1,34114,18.1,4.5,6.6,60.1,4,None,None,54,56.6,None,371.3,6.6
"Blount, Alabama",4.8,41320,15.8,4,2.6,73.9,3,26.5,85,20.8,219,14.4,39.8,1.2
"Bullock, Alabama",3,29983,21.6,None,9.6,82.3,4,None,None,21.2,184.5,None,0,4.8
"Butler, Alabama",3.2,28003,28.4,5.1,27.3,78.8,4,None,None,31.3,None,23.8,273.2,13.7
"Calhoun, Alabama",6.1,37405,21.9,5.2,4.4,69.4,3,43.2,82,23,504.5,19.8,165.6,2.2
"Chambers, Alabama",5.2,30328,24.1,5.3,2.9,63.8,3,50,76,17.9,553.5,29.4,81.9,2
"Cherokee, Alabama",4.7,32673,21.2,5.1,5.3,79,3,None,None,23.7,462,None,52.9,5.3
"Chilton, Alabama",4.9,38610,19.5,4.5,3,72.9,3,36.8,76,19.7,407.4,19.1,29.7,2.3
"Choctaw, Alabama",8.6,31769,21.5,5.7,4.5,77,3,56.5,78,19.8,110.9,30.3,37.3,3
"Clarke, Alabama",10.8,27478,29.3,7.2,7.9,67.4,3,46.5,73,19.5,464.1,25.6,59.6,2.4
"Clay, Alabama",4.4,31826,19,5.1,2.2,73.1,3,None,93,32.4,73.7,29.8,89.7,2.2
"Cleburne, Alabama",2.2,35586,18.4,5.2,10.3,76.8,2,None,None,36.1,None,19.9,205.5,10.3
"Coffee, Alabama",5.3,40967,18.6,5.3,4.1,70.6,4,25.8,85,31.5,363.9,18.4,90.4,1.2
"Colbert, Alabama",7.1,36576,17.9,4.8,6.4,70.6,3,33.4,78,25.2,372.9,17.8,141.3,1.5
"Conecuh, Alabama",12.3,23080,32.7,5.7,10.5,84.5,4,None,None,23.9,131,None,104.7,20.9
"Coosa, Alabama",6,34891,20.9,5,6.6,75.7,3,None,None,24.3,None,None,0,13.1
"Covington, Alabama",6.3,33573,20,4.6,4.8,71.1,4,42.9,81,22.6,242.2,21.9,92.5,2.4
"Crenshaw, Alabama",12.7,33953,19.1,5.7,2.6,70.9,2,None,73,25.5,366,None,52.4,1.3
"Cullman, Alabama",4.7,36361,18.8,4.8,4.3,70,3,31.7,83,24.8,201.2,16.9,122.6,2.2
"Dale, Alabama",5.8,42016,17.4,5.1,4,72.7,3,33.6,77,27.6,395.8,15.8,58.2,1.8
"Dallas, Alabama",8.1,24822,35.5,6.5,3.6,58.6,3,31.1,72,21.4,781.8,31.7,178.1,1.9
"DeKalb, Alabama",2.1,35429,19.9,4.4,10.1,83.6,4,None,None,29.4,49.4,21.4,50.7,5.1
"Elmore, Alabama",4.5,51261,13.4,4,3.5,73.2,4,51.9,74,28.8,178.7,23.3,42.1,1.2
"Escambia, Alabama",3.2,28723,25.4,5.5,7.2,85.3,5,None,44,29.7,None,30.2,0,7.2
"Etowah, Alabama",5.4,35580,19,4.7,3.3,69.4,3,42.6,77,22.9,497.9,20.4,197.2,1.4
"Fayette, Alabama",8.5,31672,19.9,5.2,3.3,64.1,4,None,None,28.4,424.4,None,65.8,0
"Franklin, Alabama",7.7,34085,21.9,4.7,4.2,66.7,2,None,None,None,699.6,21.3,0,4.2
"Geneva, Alabama",4.3,33345,21.2,4.8,9.3,71.4,3,None,None,20.8,161.1,20,0,4.7
"Greene, Alabama",7.9,22676,32.9,4.7,3.5,64.6,2,None,58,16.7,350.1,None,14,0
"Hale, Alabama",6.7,28128,26.6,5.4,2,67.1,2,77.8,71,18.7,169.6,26.7,32.7,2.6
"Henry, Alabama",4.2,38984,14.4,5.5,7.9,72.7,4,None,None,24.2,73.9,14.9,0,0
"Houston, Alabama",5.3,38327,18,5,5.1,70.3,3,39.6,87,28.2,442.2,17.9,328.1,1.6
"Jackson, Alabama",5.8,35226,16,4.6,4.7,76,3,36.4,83,19.2,273.5,14.5,100.1,2.3
"Jefferson, Alabama",5.1,42522,18,5.4,5,63.7,4,53.7,74,37.4,717.4,15.9,575.9,1.7
"Lamar, Alabama",6.9,33722,22.3,4.3,4.2,63.5,2,None,48,23.9,129.3,28.6,13.9,1.4
"Lauderdale, Alabama",6.1,40102,17.2,5,5.7,72.6,3,44.6,85,27.6,179.6,11.3,177.9,2
"Lawrence, Alabama",5,36084,17.5,4.7,4.2,78.7,3,None,100,17.4,41.7,18.6,21.1,4.2
"Lee, Alabama",4.4,40755,22,6,3.4,62.7,4,50.1,84,39.8,218.2,8.6,133.2,1.2
"Limestone, Alabama",4.8,45507,14.7,4.7,2.5,75.1,4,35.4,86,29.8,123.6,19.3,66.3,1.1
"Lowndes, Alabama",10.3,24551,26.7,5.7,3.7,58.6,3,59.2,68,19.4,554.5,32.6,9.3,1.9
"Macon, Alabama",7,28758,27.3,5.4,2.5,62,2,72.1,83,25.1,625.4,14,55.5,2.5
"Madison, Alabama",4.8,54694,12.8,5,3.8,74.7,4,45.3,79,46.1,542.9,12.2,270.8,1.3
"Marengo, Alabama",3.3,32834,24,6,11.2,90.8,3,None,None,34.2,124.3,21.6,0,0
"Marion, Alabama",5.2,30783,20.9,4.4,3,59.1,1,None,None,19.9,224.5,21.7,0,3
"Marshall, Alabama",5.2,36996,19.5,4.9,4.7,71.8,3,23.6,85,23,227.9,23.1,111,2.2
"Mobile, Alabama",6,40274,19.8,5.2,4.4,65.2,4,48.1,68,28.5,597.1,18.7,275.2,1.7
"Monroe, Alabama",4.2,27334,28.6,6.3,3.2,81.2,2,None,88,20.5,57.2,29.1,31.7,0
"Montgomery, Alabama",5.4,41924,21.2,5.4,5.1,63.2,4,50.8,64,37.2,367.5,16.7,268.4,1.6
"Morgan, Alabama",5.2,41933,15.7,4.8,4.5,74.2,3,38.1,76,27.3,232.8,17.5,139.6,1.4
"Perry, Alabama",8.3,26404,25.6,5.5,12.2,71,3,None,None,20.8,None,None,17.5,1.7
"Pickens, Alabama",5.9,26902,27.2,5.9,6.2,67.8,3,60.9,81,17.1,225.5,20.8,46.4,2.1
"Pike, Alabama",6.9,30972,27.6,6.4,2.5,77.3,2,None,None,13.1,27,6.1,25.2,1.3
"Randolph, Alabama",8.1,32959,24.5,5.1,2.8,68.1,3,None,83,21.2,242.3,24,21.2,2.1
"Russell, Alabama",5.3,33830,22,5.2,3.4,62.6,3,37.1,66,24.7,457.7,23,45.4,1.7
"St. Clair, Alabama",4.7,47536,15.2,4.1,3,74.1,4,44.4,77,23,183.5,20.2,33.6,1.5
"Shelby, Alabama",3.6,64369,7.9,4.1,4.5,74.2,4,53.9,89,47.6,176.9,8.9,249.8,1.4
"Sumter, Alabama",7.3,20766,38,5.7,3.7,59.9,2,80.8,73,20.4,437.4,None,45,2.2
"Talladega, Alabama",5.7,33171,22.9,5,3.1,68,3,43.5,78,20.5,301.7,27,63.9,1.1
"Tallapoosa, Alabama",5.7,36626,19.8,4.7,2.4,70.5,4,37.5,78,24.2,423.1,20.3,121.3,1.7
"Tuscaloosa, Alabama",4.7,42502,18.9,5.3,4.2,65.8,4,43.5,73,33.1,432.3,12.3,231.6,1.2
"Walker, Alabama",6.3,35162,20.9,4.7,4.1,75.1,3,27.1,79,18.3,297.1,25.5,126,1.4
"Washington, Alabama",2.2,39458,18.4,5.1,18.3,78.2,4,None,None,20.6,36,26,110.1,3.7
"Wilcox, Alabama",3.3,22129,39.2,6.8,8.2,78.6,4,None,None,28.7,87.3,44.4,81.6,5.4
"Winston, Alabama",7.4,30794,24,4.8,9.3,46.5,3,None,73,26,412.3,21.7,243.3,2.3
