Timestamp,Please let us know if you would like to participate in our Socos Intern Team Survey. ,"Please answer this questionnaire for your youngest child. If you would like to answer for any of your other children, please indicate below and we will send you a separate survey link. ",Preferred nickname for your child,Preferred gender of your child,Grade,How many siblings does your child have that live at home?,"If your child has siblings, how well do they get along?","How well does your child get along with other children of their age, whether at camp or at school?","On average, how much time per day do you spend with your child for one-on-one activities?","On average, how much time per day does your child spend on his/her schoolwork?","On average, how much time per day does your child spend using electronics (such as television, computers, etc.)?",My child is a hard worker.,My child remains unaffected when someone close to him/her is happy.,My child is “in tune” with other people’s moods.,My child has difficulty maintaining his/her focus on projects that take more than a few months to complete.,"When someone else is feeling excited, my child tends to get excited too.",Setbacks don’t discourage my child. He/She does not give up easily.,My child finishes whatever he/she begins.,"When a friend starts to talk about his/her problems, my child tries to steer the conversation towards something else.",New ideas and projects sometimes distract my child from previous ones.,My child's interests change from year to year.,My child often sets a goal but later chooses to pursue a different one.,My child does not feel sympathy for people who cause their own serious illnesses.,My child has overcome setbacks to conquer an important challenge.,My child can tell when others are sad even when they do not say anything.,My child is diligent. He/She never gives up.,My child has been obsessed with a certain idea or project for a short time but later lost interest.,My child enjoys making other people feel better.,"My child has tender, concerned feelings for people less fortunate than him/her.",It upsets my child to see someone being treated disrespectfully.,Other people’s misfortunes do not disturb my child a great deal.,"Please let us know about any questions, concerns, or feedback! (optional)",Zipcode 
8/3/2016 13:02:03,Yes,"No, thank you.",B,Male,2,2,5,5,2 hours,1 hour,2 hours,Very much like my child,Very much like my child,Very much like my child,Not like my child at all,Very much like my child,Very  much like my child,Mostly like my child,Not like my child at all,Not much like my child,Somewhat like my child,Not much like my child,Not like my child at all,Somewhat like my child,Mostly like my child,Very much like my child,Not much like my child,Mostly like my child,Mostly like my child,Mostly like my child,Not like my child at all,,
8/3/2016 14:06:12,Yes,"No, thank you.",Mui,Female,4,1,5,5,1 hours,2 hours,1 hour,Mostly like my child,Not much like my child,Somewhat like my child,Not much like my child,Mostly like my child,Somewhat like my child,Somewhat like my child,Not like my child at all,Somewhat like my child,Not much like my child,Not much like my child,Not like my child at all,Not much like my child,Somewhat like my child,Not much like my child,Somewhat like my child,Somewhat like my child,Mostly like my child,Somewhat like my child,Not much like my child,,
8/3/2016 15:01:20,Yes,"No, thank you.",Angel,Male,1,1,5,4,1 hours,1 hour,2 hours,Not much like my child,Not like my child at all,Somewhat like my child,Not like my child at all,Somewhat like my child,Somewhat like my child,Mostly like my child,Not much like my child,Somewhat like my child,Somewhat like my child,Somewhat like my child,Not like my child at all,Not much like my child,Mostly like my child,Not much like my child,Somewhat like my child,Not much like my child,Somewhat like my child,Somewhat like my child,Somewhat like my child,,
8/3/2016 21:21:38,Yes,"Yes, I would like to fill out a questionnaire for another one of my children.",Denny,Male,3,0,1,4,1 hours,1 hour,1 hour,Somewhat like my child,Mostly like my child,Somewhat like my child,Not much like my child,Mostly like my child,Mostly like my child,Mostly like my child,Somewhat like my child,Somewhat like my child,Mostly like my child,Somewhat like my child,Not much like my child,Mostly like my child,Somewhat like my child,Mostly like my child,Not much like my child,Somewhat like my child,Not much like my child,Somewhat like my child,Somewhat like my child,,
8/4/2016 11:12:07,Yes,"No, thank you.",Jeremy,Male,1,2,3,5,2 hours,1 hour,1 hour,Somewhat like my child,Mostly like my child,Somewhat like my child,Somewhat like my child,Mostly like my child,Mostly like my child,Somewhat like my child,Somewhat like my child,Very much like my child,Somewhat like my child,Somewhat like my child,Not much like my child,Somewhat like my child,Mostly like my child,Somewhat like my child,Somewhat like my child,Somewhat like my child,Mostly like my child,Somewhat like my child,Somewhat like my child,,
8/4/2016 21:46:35,Yes,"No, thank you.",Matthew,Male,7,1,3,5,1 hours,4 hours,4 hours,Mostly like my child,Not much like my child,Somewhat like my child,Very much like my child,Not much like my child,Not much like my child,Somewhat like my child,Not much like my child,Somewhat like my child,Mostly like my child,Mostly like my child,Mostly like my child,Mostly like my child,Mostly like my child,Not much like my child,Somewhat like my child,Somewhat like my child,Mostly like my child,Very much like my child,Not much like my child,,
8/5/2016 7:50:17,Yes,"No, thank you.",Ashton,Male,5,1,4,4,2 hours,1 hour,2 hours,Somewhat like my child,Not much like my child,Somewhat like my child,Somewhat like my child,Mostly like my child,Not much like my child,Mostly like my child,Somewhat like my child,Mostly like my child,Mostly like my child,Somewhat like my child,Not like my child at all,Not much like my child,Somewhat like my child,Not much like my child,Mostly like my child,Mostly like my child,Somewhat like my child,Mostly like my child,Not much like my child,,
8/5/2016 10:05:23,Yes,"No, thank you.",none,Female,6,0,,5,3 hours,2 hours,4 hours,Somewhat like my child,Mostly like my child,Somewhat like my child,Mostly like my child,Mostly like my child,Somewhat like my child,Somewhat like my child,Somewhat like my child,Mostly like my child,Mostly like my child,Not much like my child,Not much like my child,Not much like my child,Somewhat like my child,Somewhat like my child,Mostly like my child,Somewhat like my child,Not much like my child,Somewhat like my child,Somewhat like my child,,
8/6/2016 7:49:33,Yes,"No, thank you.",Didi,Male,1,1,4,3,2 hours,1 hour,1 hour,Mostly like my child,Not much like my child,Mostly like my child,Very much like my child,Very much like my child,Not much like my child,Somewhat like my child,Not much like my child,Mostly like my child,Very much like my child,Somewhat like my child,Not much like my child,Somewhat like my child,Mostly like my child,Mostly like my child,Mostly like my child,Mostly like my child,Mostly like my child,Very much like my child,Not like my child at all,,
8/10/2016 12:08:33,Yes,"No, thank you.",Chu,Female,2,0,,5,1 hours,1 hour,1 hour,Mostly like my child,Somewhat like my child,Mostly like my child,Not much like my child,Very much like my child,Mostly like my child,Mostly like my child,Not much like my child,Mostly like my child,Somewhat like my child,Somewhat like my child,Not like my child at all,Somewhat like my child,Mostly like my child,Mostly like my child,Somewhat like my child,Very much like my child,Mostly like my child,Somewhat like my child,Not much like my child,,94403
